name,school,sex,prorank,url,picUrl
黄川,通信抗干扰国家级重点实验室,男,教授,http://faculty.uestc.edu.cn/huangchuan/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/3/F8/F2/CCA6D8C8DAF5FA4264CC2B58359_67C13D33_8BAD.png
魏宁,通信抗干扰国家级重点实验室,男,研究员,http://faculty.uestc.edu.cn/weining/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/E/16/40/B19D231913498E028117A38FAF3_962FF051_14842.jpg
马万治,通信抗干扰国家级重点实验室,男,副研究员,http://faculty.uestc.edu.cn/mawanzhi/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/0/5E/72/7770D0C7A8F1A5AEB71035C8543_89A3415C_1776D.jpg
韩凯宁,通信抗干扰国家级重点实验室,男,副教授,http://faculty.uestc.edu.cn/hankaining/en/index.htm,https://faculty.uestc.edu.cn/__local/C/D4/85/DBF41C5E670B2935235BD9D8BA4_5846DF19_16CE5.png
靳传学,通信抗干扰国家级重点实验室,男,高级工程师,http://faculty.uestc.edu.cn/jinchuanxue/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/6/07/E2/C802450991C9DFABF4D60C4EF13_774259B7_1B534.png
陈智,通信抗干扰国家级重点实验室,男,教授,http://faculty.uestc.edu.cn/chenzhi2/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/0/C4/36/1E55C2DF79DD85E60B0570F588E_340E572F_226AC.jpg
陈劼,通信抗干扰国家级重点实验室,女,副研究员,http://faculty.uestc.edu.cn/chenjie/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/D/72/B7/BA439DE7078E31EA24F055EDF93_971A3593_6F8000.jpg
邵士海,通信抗干扰国家级重点实验室,男,教授,http://faculty.uestc.edu.cn/shaoshihai/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/6/2C/33/14869A27499FB60E5FA3968307E_67B59501_1A61B.jpg
赵宏志,通信抗干扰国家级重点实验室,男,教授,http://faculty.uestc.edu.cn/zhaohongzhi/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/2/FD/F8/5530903A3D367ADA81055689144_0EC5FE6A_14E51.png
谭雪松,通信抗干扰国家级重点实验室,男,教授,http://faculty.uestc.edu.cn/tanxuesong/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/B/7B/55/5139D799F4114D29EF1BDC35E51_C8778F39_12B6C.png
袁晓军,通信抗干扰国家级重点实验室,男,教授,http://faculty.uestc.edu.cn/yuanxiaojun/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/D/06/D6/2A574D1ABFDF07D0C530E5E6917_4DA965BB_FE4E.jpg
董彬虹,通信抗干扰国家级重点实验室,女,研究员,http://faculty.uestc.edu.cn/dongbinhong/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/4/0B/52/C2E463F2C056A9C07B06877EB04_F6586E46_C6EC.png
